review_item_id,recipe_id,source_candidate_edge,source_card_id,target_card_id,grade_profile_package_id,grade_added_card_ids,grade_removed_card_ids,grade_counts_after,recommended_reviewer_action
m53_01_m52_recipe_011_repair_review,m52_recipe_011,BT14-062TH->BT14-003TH,BT14-062TH,BT14-003TH,m52_recipe_011_grade_profile_pkg_001,TD16-013TH|TD08-004TH,BT10-003TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_012_repair_review,m52_recipe_012,BT14-062TH->BT14-S03TH,BT14-062TH,BT14-S03TH,m52_recipe_012_grade_profile_pkg_001,TD16-013TH|TD08-004TH,BT10-003TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_013_repair_review,m52_recipe_013,BT14-012TH->BT10-057TH,BT14-012TH,BT10-057TH,m52_recipe_013_grade_profile_pkg_001,TD16-013TH|TD08-004TH,BT10-011TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_014_repair_review,m52_recipe_014,BT14-012TH->BT12-012TH,BT14-012TH,BT12-012TH,m52_recipe_014_grade_profile_pkg_001,TD16-013TH|TD08-004TH,BT10-011TH|BT10-025TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_015_repair_review,m52_recipe_015,BT14-012TH->TD08-012TH,BT14-012TH,TD08-012TH,m52_recipe_015_grade_profile_pkg_001,TD16-013TH|TD08-004TH,BT10-011TH|BT10-025TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_016_repair_review,m52_recipe_016,BT14-012TH->TD16-012TH,BT14-012TH,TD16-012TH,m52_recipe_016_grade_profile_pkg_001,TD16-013TH|TD08-004TH,BT10-011TH|BT10-025TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_017_repair_review,m52_recipe_017,BT10-026TH->BT17-049TH,BT10-026TH,BT17-049TH,m52_recipe_017_grade_profile_pkg_001,TD08-009TH|TD08-004TH,TD16-015TH|BT10-003TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_018_repair_review,m52_recipe_018,BT10-054TH->BT10-055TH,BT10-054TH,BT10-055TH,m52_recipe_018_grade_profile_pkg_001,TD16-013TH,BT10-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_019_repair_review,m52_recipe_019,BT10-054TH->BT12-053TH,BT10-054TH,BT12-053TH,m52_recipe_019_grade_profile_pkg_001,TD16-013TH|TD08-009TH,BT10-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_020_repair_review,m52_recipe_020,BT10-054TH->BT14-025TH,BT10-054TH,BT14-025TH,m52_recipe_020_grade_profile_pkg_001,TD16-013TH|TD08-009TH,BT10-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_021_repair_review,m52_recipe_021,BT10-054TH->BT14-056TH,BT10-054TH,BT14-056TH,m52_recipe_021_grade_profile_pkg_001,TD16-013TH|TD08-009TH,BT10-012TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_022_repair_review,m52_recipe_022,BT10-054TH->BT17-048TH,BT10-054TH,BT17-048TH,m52_recipe_022_grade_profile_pkg_001,TD16-013TH|TD08-009TH,BT10-003TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_023_repair_review,m52_recipe_023,BT10-054TH->BT17-049TH,BT10-054TH,BT17-049TH,m52_recipe_023_grade_profile_pkg_001,TD16-013TH|TD08-009TH,BT10-003TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_024_repair_review,m52_recipe_024,BT10-054TH->TD08-011TH,BT10-054TH,TD08-011TH,m52_recipe_024_grade_profile_pkg_001,TD16-013TH,BT10-011TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
m53_01_m52_recipe_025_repair_review,m52_recipe_025,BT10-054TH->TD16-002TH,BT10-054TH,TD16-002TH,m52_recipe_025_grade_profile_pkg_001,TD16-013TH|TD08-009TH,BT10-003TH,"{""0"": 17, ""1"": 14, ""2"": 11, ""3"": 8}",select_one_recipe_and_review_grade_package_before_m53_02_acceptance
